ORIGINAL IS,ORIGINAL IV,MASKED filename,MASKED IS,MASKED IV,IMPUTED filename,IMPUTED IS,IMPUTED IV,Mask,Weekday
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.10-12.MASKED.csv,0.45,1.27,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.10-12.IMPUTED.csv,0.44,1.3,10-12,Saturday
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.10-14.MASKED.csv,0.44,1.21,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.10-14.IMPUTED.csv,0.42,1.29,10-14,Saturday
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.10-16.MASKED.csv,0.43,1.16,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.10-16.IMPUTED.csv,0.43,1.28,10-16,Saturday
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.10-34.MASKED.csv,0.22,0.76,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.10-34.IMPUTED.csv,0.38,1.25,10-34,Saturday
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.12-14.MASKED.csv,0.43,1.25,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.12-14.IMPUTED.csv,0.44,1.27,12-14,Saturday
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.14-16.MASKED.csv,0.43,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.14-16.IMPUTED.csv,0.44,1.29,14-16,Saturday
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.14-18.MASKED.csv,0.41,1.22,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.14-18.IMPUTED.csv,0.44,1.28,14-18,Saturday
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.16-18.MASKED.csv,0.43,1.31,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.16-18.IMPUTED.csv,0.44,1.28,16-18,Saturday
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.16-22.MASKED.csv,0.33,1.24,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.16-22.IMPUTED.csv,0.45,1.28,16-22,Saturday
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.18-20.MASKED.csv,0.42,1.35,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.18-20.IMPUTED.csv,0.43,1.34,18-20,Saturday
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.18-22.MASKED.csv,0.35,1.3,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.18-22.IMPUTED.csv,0.39,1.34,18-22,Saturday
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.22-10.MASKED.csv,0.36,0.94,nparactformat_1001699_90001_0_0.cwa.RData.Saturday.22-10.IMPUTED.csv,0.41,1.14,22-10,Saturday
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.10-12.MASKED.csv,0.46,1.24,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.10-12.IMPUTED.csv,0.44,1.29,10-12,Wednesday
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.10-14.MASKED.csv,0.44,1.19,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.10-14.IMPUTED.csv,0.44,1.29,10-14,Wednesday
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.10-16.MASKED.csv,0.42,1.13,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.10-16.IMPUTED.csv,0.43,1.28,10-16,Wednesday
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.10-34.MASKED.csv,0.23,0.83,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.10-34.IMPUTED.csv,0.37,1.29,10-34,Wednesday
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.12-14.MASKED.csv,0.43,1.26,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.12-14.IMPUTED.csv,0.44,1.29,12-14,Wednesday
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.14-16.MASKED.csv,0.42,1.27,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.14-16.IMPUTED.csv,0.44,1.29,14-16,Wednesday
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.14-18.MASKED.csv,0.39,1.21,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.14-18.IMPUTED.csv,0.43,1.29,14-18,Wednesday
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.16-18.MASKED.csv,0.42,1.28,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.16-18.IMPUTED.csv,0.44,1.29,16-18,Wednesday
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.16-22.MASKED.csv,0.32,1.2,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.16-22.IMPUTED.csv,0.43,1.31,16-22,Wednesday
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.18-20.MASKED.csv,0.4,1.3,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.18-20.IMPUTED.csv,0.44,1.3,18-20,Wednesday
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.18-22.MASKED.csv,0.34,1.26,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.18-22.IMPUTED.csv,0.43,1.31,18-22,Wednesday
0.44,1.29,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.22-10.MASKED.csv,0.38,1.03,nparactformat_1001699_90001_0_0.cwa.RData.Wednesday.22-10.IMPUTED.csv,0.42,1.31,22-10,Wednesday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.10-12.MASKED.csv,0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.10-12.IMPUTED.csv,0.18,1.01,10-12,Saturday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.10-14.MASKED.csv,0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.10-14.IMPUTED.csv,0.17,0.99,10-14,Saturday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.10-16.MASKED.csv,0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.10-16.IMPUTED.csv,0.17,0.98,10-16,Saturday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.10-34.MASKED.csv,0.13,1.0,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.10-34.IMPUTED.csv,0.11,0.82,10-34,Saturday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.12-14.MASKED.csv,0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.12-14.IMPUTED.csv,0.18,1.01,12-14,Saturday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.14-16.MASKED.csv,0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.14-16.IMPUTED.csv,0.18,1.0,14-16,Saturday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.14-18.MASKED.csv,0.18,1.0,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.14-18.IMPUTED.csv,0.18,0.99,14-18,Saturday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.16-18.MASKED.csv,0.18,1.0,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.16-18.IMPUTED.csv,0.18,1.0,16-18,Saturday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.16-22.MASKED.csv,0.17,1.0,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.16-22.IMPUTED.csv,0.16,1.0,16-22,Saturday
0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.18-20.MASKED.csv,0.18,1.01,nparactformat_1001703_90001_0_0.cwa.RData.Saturday.18-20.IMPUTED.csv,0.18,1.0,18-20,Saturday
